[s],CH1[V],CH2[V]
-1.1472E-01,-5.900E+00,1.600E-01
-1.1468E-01,-5.700E+00,2.191E-14
-1.1464E-01,-5.900E+00,8.000E-02
-1.1460E-01,-5.900E+00,2.191E-14
-1.1456E-01,-6.100E+00,8.000E-02
-1.1452E-01,-5.900E+00,8.000E-02
-1.1448E-01,-6.100E+00,2.191E-14
-1.1444E-01,-5.900E+00,2.191E-14
-1.1440E-01,-6.100E+00,8.000E-02
-1.1436E-01,-5.700E+00,1.600E-01
-1.1432E-01,-5.900E+00,8.000E-02
-1.1428E-01,-5.700E+00,2.191E-14
-1.1424E-01,-5.900E+00,8.000E-02
-1.1420E-01,-5.700E+00,8.000E-02
-1.1416E-01,-5.900E+00,2.191E-14
-1.1412E-01,-5.900E+00,2.191E-14
-1.1408E-01,-6.100E+00,2.191E-14
-1.1404E-01,-5.900E+00,8.000E-02
-1.1400E-01,-5.900E+00,8.000E-02
-1.1396E-01,-5.900E+00,2.191E-14
-1.1392E-01,-5.900E+00,2.191E-14
-1.1388E-01,-5.900E+00,8.000E-02
-1.1384E-01,-5.900E+00,2.191E-14
-1.1380E-01,-6.100E+00,2.191E-14
-1.1376E-01,-6.100E+00,8.000E-02
-1.1372E-01,-5.900E+00,2.191E-14
-1.1368E-01,-5.900E+00,1.600E-01
-1.1364E-01,-5.900E+00,1.600E-01
-1.1360E-01,-5.900E+00,2.191E-14
-1.1356E-01,-5.700E+00,2.191E-14
-1.1352E-01,-5.700E+00,2.191E-14
-1.1348E-01,-5.900E+00,8.000E-02
-1.1344E-01,-5.900E+00,1.600E-01
-1.1340E-01,-5.900E+00,8.000E-02
-1.1336E-01,-6.100E+00,8.000E-02
-1.1332E-01,-6.100E+00,2.191E-14
-1.1328E-01,-5.900E+00,2.191E-14
-1.1324E-01,-5.700E+00,8.000E-02
-1.1320E-01,-5.900E+00,8.000E-02
-1.1316E-01,-6.100E+00,8.000E-02
-1.1312E-01,-6.100E+00,2.191E-14
-1.1308E-01,-5.900E+00,2.191E-14
-1.1304E-01,-5.900E+00,2.191E-14
-1.1300E-01,-5.900E+00,8.000E-02
-1.1296E-01,-6.100E+00,1.600E-01
-1.1292E-01,-5.900E+00,1.600E-01
-1.1288E-01,-5.900E+00,8.000E-02
-1.1284E-01,-5.900E+00,1.600E-01
-1.1280E-01,-5.900E+00,1.600E-01
-1.1276E-01,-5.900E+00,2.191E-14
-1.1272E-01,-5.900E+00,8.000E-02
-1.1268E-01,-5.900E+00,8.000E-02
-1.1264E-01,-6.100E+00,8.000E-02
-1.1260E-01,-6.100E+00,1.600E-01
-1.1256E-01,-5.900E+00,1.600E-01
-1.1252E-01,-5.900E+00,1.600E-01
-1.1248E-01,-5.900E+00,2.191E-14
-1.1244E-01,-5.900E+00,8.000E-02
-1.1240E-01,-5.700E+00,8.000E-02
-1.1236E-01,-5.900E+00,8.000E-02
-1.1232E-01,-5.900E+00,1.600E-01
-1.1228E-01,-5.900E+00,8.000E-02
-1.1224E-01,-5.900E+00,8.000E-02
-1.1220E-01,-5.700E+00,8.000E-02
-1.1216E-01,-5.700E+00,8.000E-02
-1.1212E-01,-5.900E+00,2.191E-14
-1.1208E-01,-5.900E+00,8.000E-02
-1.1204E-01,-5.700E+00,8.000E-02
-1.1200E-01,-5.900E+00,8.000E-02
-1.1196E-01,-5.900E+00,8.000E-02
-1.1192E-01,-5.900E+00,8.000E-02
-1.1188E-01,-6.100E+00,8.000E-02
-1.1184E-01,-6.100E+00,1.600E-01
-1.1180E-01,-5.900E+00,8.000E-02
-1.1176E-01,-5.900E+00,-8.000E-02
-1.1172E-01,-5.900E+00,1.600E-01
-1.1168E-01,-5.900E+00,8.000E-02
-1.1164E-01,-5.900E+00,8.000E-02
-1.1160E-01,-5.900E+00,2.191E-14
-1.1156E-01,-5.900E+00,8.000E-02
-1.1152E-01,-5.900E+00,1.600E-01
-1.1148E-01,-5.900E+00,8.000E-02
-1.1144E-01,-5.700E+00,8.000E-02
-1.1140E-01,-5.700E+00,8.000E-02
-1.1136E-01,-5.900E+00,8.000E-02
-1.1132E-01,-5.900E+00,8.000E-02
-1.1128E-01,-5.900E+00,8.000E-02
-1.1124E-01,-5.900E+00,2.191E-14
-1.1120E-01,-5.900E+00,2.191E-14
-1.1116E-01,-5.900E+00,8.000E-02
-1.1112E-01,-6.100E+00,2.191E-14
-1.1108E-01,-5.900E+00,2.191E-14
-1.1104E-01,-5.900E+00,8.000E-02
-1.1100E-01,-5.700E+00,2.191E-14
-1.1096E-01,-5.900E+00,8.000E-02
-1.1092E-01,-5.900E+00,1.600E-01
-1.1088E-01,-5.900E+00,8.000E-02
-1.1084E-01,-6.100E+00,1.600E-01
-1.1080E-01,-6.100E+00,2.191E-14
-1.1076E-01,-6.100E+00,2.191E-14
-1.1072E-01,-6.100E+00,1.600E-01
-1.1068E-01,-5.900E+00,1.600E-01
-1.1064E-01,-5.900E+00,2.191E-14
-1.1060E-01,-5.700E+00,2.191E-14
-1.1056E-01,-5.900E+00,8.000E-02
-1.1052E-01,-5.900E+00,1.600E-01
-1.1048E-01,-6.100E+00,8.000E-02
-1.1044E-01,-5.900E+00,1.600E-01
-1.1040E-01,-5.900E+00,1.600E-01
-1.1036E-01,-6.100E+00,2.191E-14
-1.1032E-01,-5.900E+00,8.000E-02
-1.1028E-01,-5.700E+00,1.600E-01
-1.1024E-01,-6.100E+00,8.000E-02
-1.1020E-01,-5.900E+00,8.000E-02
-1.1016E-01,-5.900E+00,1.600E-01
-1.1012E-01,-5.900E+00,8.000E-02
-1.1008E-01,-5.900E+00,8.000E-02
-1.1004E-01,-5.900E+00,8.000E-02
-1.1000E-01,-6.100E+00,8.000E-02
-1.0995E-01,-5.900E+00,8.000E-02
-1.0991E-01,-5.900E+00,1.600E-01
-1.0987E-01,-5.900E+00,8.000E-02
-1.0983E-01,-5.900E+00,8.000E-02
-1.0979E-01,-6.100E+00,2.191E-14
-1.0975E-01,-5.900E+00,1.600E-01
-1.0971E-01,-5.900E+00,1.600E-01
-1.0967E-01,-5.900E+00,8.000E-02
-1.0963E-01,-5.900E+00,1.600E-01
-1.0959E-01,-5.900E+00,8.000E-02
-1.0955E-01,-5.700E+00,1.600E-01
-1.0951E-01,-5.900E+00,2.191E-14
-1.0947E-01,-5.900E+00,8.000E-02
-1.0943E-01,-5.900E+00,1.600E-01
-1.0939E-01,-5.900E+00,2.191E-14
